date,return
2014-11-30,0.011635519
2014-12-31,0.021954092
2015-01-31,0.040887266
2015-02-28,-0.002511243
2015-03-31,0.017258617
2015-04-30,0.04169672
2015-05-31,0.033973104
2015-06-30,0.011808567
2015-07-31,-0.034296713
2015-08-31,-0.018000337
2015-09-30,0.042448593
2015-10-31,0.060486794
2015-11-30,0.004425443
2015-12-31,-0.011128068
2016-01-31,0.039040591
2016-02-29,-0.018534757
2016-03-31,0.051492028
2016-04-30,0.008987285
2016-05-31,0.040300962
2016-06-30,-0.070148135
2016-07-31,-0.037446004
2016-08-31,-0.057651038
2016-09-30,0.05280791
2016-10-31,0.048136152
2016-11-30,0.019069758
2016-12-31,0.023693646
2017-01-31,-0.022749483
2017-02-28,-0.07743936
2017-03-31,0.033247985
2017-04-30,-0.020915849
2017-05-31,-0.069554204
2017-06-30,0.003758875
